,StudentID,CourseID,Name,StudyOrNot,Semester,Group
63,2,14,Giao tiếp kinh doanh,1,3,1
64,2,15,Kỹ năng sử dụng bàn phím và thiết bị văn phòng,0,3,1
65,2,16,Những môn chính học kỳ 4,1,4,0
66,2,17,Hệ quản trị cơ sở dữ liệu,1,4,1
67,2,18,Tương tác người máy,0,4,1
68,2,19,Thương mại điện tử,0,4,1
69,2,20,Lập trình hướng sự kiện với công nghệ .NET,0,4,2
70,2,21,Lập trình hướng sự kiện với công nghệ Java,1,4,2
71,2,22,Lập trình GUI với Qt Framework,0,4,2
72,2,23,Những môn chính học kỳ 5,1,5,0
73,2,24,Tâm lí học đại cương,0,5,1
74,2,25,Cơ sở văn hóa Việt Nam,0,5,1
75,2,26,Xã hội học,0,5,1
76,2,27,Tiếng Việt thực hành,1,5,1
77,2,28,Âm nhạc - Nhạc lý và Guitar căn bản,0,5,1
78,2,29,Hội họa,0,5,1
79,2,30,Những môn chính học kỳ 6,1,6,0
80,2,31,Lập trình phân tán với công nghệ .NET,0,6,1
81,2,32,Lập trình phân tán với công nghệ Java,1,6,1
82,2,33,Lập trình mạng với Qt Framework,0,6,1
83,2,34,Khai thác dữ liệu và ứng dụng,0,6,2
84,2,35,Kỹ thuật điện tử ,0,6,2
85,2,36,Lập trình phân tích dữ liệu 1,1,6,2
86,2,37,Những môn chính học kỳ 7,1,7,0
87,2,38,Lập trình WWW (.NET),0,7,1
88,2,39,Lập trình WWW (Java),1,7,1
89,2,40,Lập trình IoTs,0,7,1
90,2,41,Phát triển ứng dụng Web với Qt Engine,0,7,1
91,2,42,Những môn chính học kỳ 8,1,8,0
92,2,43,Lập trình phân tích dữ liệu 2 ,1,8,1
93,2,44,Automat & ngôn ngữ hình thức ,0,8,1
94,2,45,Lập trình thiết bị di động nâng cao ,0,8,1
95,2,46,Kiến trúc hướng dịch vụ và Điện toán đám mây  ,0,8,2
96,2,47,Nhập môn dữ liệu lớn ,0,8,2
97,2,48,Quản lý dự án CNTT,0,8,2
98,2,49,Tiếp thị điện tử ,0,8,2
99,2,50,Những môn chính học kỳ 9,1,9,0
100,3,1,Những môn chính học kỳ 1,1,1,0
101,3,2,Những môn chính học kỳ 2,1,1,0
102,3,3,Logic học,0,2,1
103,3,4,Phương pháp tính,0,2,1
104,3,5,Vật lý đại cương,1,2,1
105,3,6,Toán ứng dụng,0,2,1
106,3,7,Hàm phức và phép biến đổi Laplace,0,2,1
107,3,8,Những môn chính học kỳ 3,1,3,0
108,3,9,Kỹ năng xây dựng kế hoạch ,0,3,1
109,3,10,Quản trị học,0,3,1
110,3,11,Quản trị doanh nghiệp,0,3,1
111,3,12,Kế toán cơ bản,0,3,1
112,3,13,Môi trường và con người ,1,3,1
113,3,14,Giao tiếp kinh doanh,0,3,1
114,3,15,Kỹ năng sử dụng bàn phím và thiết bị văn phòng,0,3,1
115,3,16,Những môn chính học kỳ 4,1,4,0
116,3,17,Hệ quản trị cơ sở dữ liệu,1,4,1
117,3,18,Tương tác người máy,0,4,1
118,3,19,Thương mại điện tử,0,4,1
119,3,20,Lập trình hướng sự kiện với công nghệ .NET,0,4,2
120,3,21,Lập trình hướng sự kiện với công nghệ Java,1,4,2
121,3,22,Lập trình GUI với Qt Framework,0,4,2
122,3,23,Những môn chính học kỳ 5,1,5,0
123,3,24,Tâm lí học đại cương,1,5,1
124,3,25,Cơ sở văn hóa Việt Nam,0,5,1
125,3,26,Xã hội học,0,5,1
126,3,27,Tiếng Việt thực hành,0,5,1
127,3,28,Âm nhạc - Nhạc lý và Guitar căn bản,0,5,1
128,3,29,Hội họa,0,5,1
129,3,30,Những môn chính học kỳ 6,1,6,0
130,3,31,Lập trình phân tán với công nghệ .NET,0,6,1
131,3,32,Lập trình phân tán với công nghệ Java,1,6,1
132,3,33,Lập trình mạng với Qt Framework,0,6,1
133,3,34,Khai thác dữ liệu và ứng dụng,0,6,2
134,3,35,Kỹ thuật điện tử ,0,6,2
135,3,36,Lập trình phân tích dữ liệu 1,1,6,2
136,3,37,Những môn chính học kỳ 7,1,7,0
137,3,38,Lập trình WWW (.NET),0,7,1
138,3,39,Lập trình WWW (Java),1,7,1
139,3,40,Lập trình IoTs,0,7,1
140,3,41,Phát triển ứng dụng Web với Qt Engine,0,7,1
141,3,42,Những môn chính học kỳ 8,1,8,0
142,3,43,Lập trình phân tích dữ liệu 2 ,0,8,1
143,3,44,Automat & ngôn ngữ hình thức ,0,8,1
144,3,45,Lập trình thiết bị di động nâng cao ,0,8,1
145,3,46,Kiến trúc hướng dịch vụ và Điện toán đám mây  ,0,8,2
146,3,47,Nhập môn dữ liệu lớn ,0,8,2
147,3,48,Quản lý dự án CNTT,1,8,2
148,3,49,Tiếp thị điện tử ,0,8,2
149,3,50,Những môn chính học kỳ 9,1,9,0
150,4,1,Những môn chính học kỳ 1,1,1,0
151,4,2,Những môn chính học kỳ 2,1,1,0
152,4,3,Logic học,0,2,1
153,4,4,Phương pháp tính,1,2,1
154,4,5,Vật lý đại cương,0,2,1
155,4,6,Toán ứng dụng,0,2,1
156,4,7,Hàm phức và phép biến đổi Laplace,0,2,1
157,4,8,Những môn chính học kỳ 3,1,3,0
158,4,9,Kỹ năng xây dựng kế hoạch ,1,3,1
159,4,10,Quản trị học,0,3,1
160,4,11,Quản trị doanh nghiệp,0,3,1
161,4,12,Kế toán cơ bản,0,3,1
162,4,13,Môi trường và con người ,0,3,1
163,4,14,Giao tiếp kinh doanh,0,3,1
164,4,15,Kỹ năng sử dụng bàn phím và thiết bị văn phòng,0,3,1
165,4,16,Những môn chính học kỳ 4,1,4,0
166,4,17,Hệ quản trị cơ sở dữ liệu,1,4,1
167,4,18,Tương tác người máy,0,4,1
168,4,19,Thương mại điện tử,0,4,1
169,4,20,Lập trình hướng sự kiện với công nghệ .NET,0,4,2
170,4,21,Lập trình hướng sự kiện với công nghệ Java,0,4,2
171,4,22,Lập trình GUI với Qt Framework,0,4,2
172,4,23,Những môn chính học kỳ 5,1,5,0
173,4,24,Tâm lí học đại cương,0,5,1
174,4,25,Cơ sở văn hóa Việt Nam,0,5,1
175,4,26,Xã hội học,0,5,1
176,4,27,Tiếng Việt thực hành,1,5,1
177,4,28,Âm nhạc - Nhạc lý và Guitar căn bản,0,5,1
178,4,29,Hội họa,0,5,1
179,4,30,Những môn chính học kỳ 6,1,6,0
180,4,31,Lập trình phân tán với công nghệ .NET,0,6,1
181,4,32,Lập trình phân tán với công nghệ Java,1,6,1
182,4,33,Lập trình mạng với Qt Framework,0,6,1
183,4,34,Khai thác dữ liệu và ứng dụng,0,6,2
184,4,35,Kỹ thuật điện tử ,0,6,2
185,4,36,Lập trình phân tích dữ liệu 1,1,6,2
186,4,37,Những môn chính học kỳ 7,1,7,0
187,4,38,Lập trình WWW (.NET),0,7,1
188,4,39,Lập trình WWW (Java),1,7,1
189,4,40,Lập trình IoTs,0,7,1
190,4,41,Phát triển ứng dụng Web với Qt Engine,0,7,1
191,4,42,Những môn chính học kỳ 8,1,8,0
192,4,43,Lập trình phân tích dữ liệu 2 ,0,8,1
193,4,44,Automat & ngôn ngữ hình thức ,0,8,1
194,4,45,Lập trình thiết bị di động nâng cao ,0,8,1
195,4,46,Kiến trúc hướng dịch vụ và Điện toán đám mây  ,0,8,2
196,4,47,Nhập môn dữ liệu lớn ,0,8,2
197,4,48,Quản lý dự án CNTT,1,8,2
198,4,49,Tiếp thị điện tử ,0,8,2
199,4,50,Những môn chính học kỳ 9,1,9,0
200,5,1,Những môn chính học kỳ 1,1,1,0
201,5,2,Những môn chính học kỳ 2,1,1,0
202,5,3,Logic học,0,2,1
203,5,4,Phương pháp tính,0,2,1
204,5,5,Vật lý đại cương,1,2,1
205,5,6,Toán ứng dụng,0,2,1
206,5,7,Hàm phức và phép biến đổi Laplace,0,2,1
207,5,8,Những môn chính học kỳ 3,1,3,0
208,5,9,Kỹ năng xây dựng kế hoạch ,0,3,1
209,5,10,Quản trị học,0,3,1
210,5,11,Quản trị doanh nghiệp,0,3,1
211,5,12,Kế toán cơ bản,0,3,1
212,5,13,Môi trường và con người ,0,3,1
213,5,14,Giao tiếp kinh doanh,0,3,1
214,5,15,Kỹ năng sử dụng bàn phím và thiết bị văn phòng,1,3,1
215,5,16,Những môn chính học kỳ 4,1,4,0
216,5,17,Hệ quản trị cơ sở dữ liệu,0,4,1
217,5,18,Tương tác người máy,0,4,1
218,5,19,Thương mại điện tử,0,4,1
219,5,20,Lập trình hướng sự kiện với công nghệ .NET,0,4,2
220,5,21,Lập trình hướng sự kiện với công nghệ Java,1,4,2
221,5,22,Lập trình GUI với Qt Framework,0,4,2
222,5,23,Những môn chính học kỳ 5,1,5,0
223,5,24,Tâm lí học đại cương,0,5,1
224,5,25,Cơ sở văn hóa Việt Nam,0,5,1
225,5,26,Xã hội học,0,5,1
226,5,27,Tiếng Việt thực hành,0,5,1
227,5,28,Âm nhạc - Nhạc lý và Guitar căn bản,0,5,1
228,5,29,Hội họa,0,5,1
229,5,30,Những môn chính học kỳ 6,1,6,0
230,5,31,Lập trình phân tán với công nghệ .NET,0,6,1
231,5,32,Lập trình phân tán với công nghệ Java,0,6,1
232,5,33,Lập trình mạng với Qt Framework,0,6,1
233,5,34,Khai thác dữ liệu và ứng dụng,0,6,2
234,5,35,Kỹ thuật điện tử ,0,6,2
235,5,36,Lập trình phân tích dữ liệu 1,0,6,2
236,5,37,Những môn chính học kỳ 7,1,7,0
237,5,38,Lập trình WWW (.NET),0,7,1
238,5,39,Lập trình WWW (Java),0,7,1
239,5,40,Lập trình IoTs,0,7,1
240,5,41,Phát triển ứng dụng Web với Qt Engine,0,7,1
241,5,42,Những môn chính học kỳ 8,1,8,0
242,5,43,Lập trình phân tích dữ liệu 2 ,0,8,1
243,5,44,Automat & ngôn ngữ hình thức ,0,8,1
244,5,45,Lập trình thiết bị di động nâng cao ,0,8,1
245,5,46,Kiến trúc hướng dịch vụ và Điện toán đám mây  ,0,8,2
246,5,47,Nhập môn dữ liệu lớn ,0,8,2
247,5,48,Quản lý dự án CNTT,0,8,2
248,5,49,Tiếp thị điện tử ,0,8,2
249,5,50,Những môn chính học kỳ 9,1,9,0
250,6,1,Những môn chính học kỳ 1,1,1,0
251,6,2,Những môn chính học kỳ 2,1,1,0
252,6,3,Logic học,0,2,1
253,6,4,Phương pháp tính,0,2,1
254,6,5,Vật lý đại cương,1,2,1
255,6,6,Toán ứng dụng,0,2,1
256,6,7,Hàm phức và phép biến đổi Laplace,0,2,1
257,6,8,Những môn chính học kỳ 3,1,3,0
258,6,9,Kỹ năng xây dựng kế hoạch ,0,3,1
259,6,10,Quản trị học,0,3,1
260,6,11,Quản trị doanh nghiệp,0,3,1
261,6,12,Kế toán cơ bản,0,3,1
262,6,13,Môi trường và con người ,0,3,1
263,6,14,Giao tiếp kinh doanh,1,3,1
264,6,15,Kỹ năng sử dụng bàn phím và thiết bị văn phòng,0,3,1
265,6,16,Những môn chính học kỳ 4,1,4,0
266,6,17,Hệ quản trị cơ sở dữ liệu,1,4,1
267,6,18,Tương tác người máy,0,4,1
268,6,19,Thương mại điện tử,0,4,1
269,6,20,Lập trình hướng sự kiện với công nghệ .NET,0,4,2
270,6,21,Lập trình hướng sự kiện với công nghệ Java,1,4,2
271,6,22,Lập trình GUI với Qt Framework,0,4,2
272,6,23,Những môn chính học kỳ 5,1,5,0
273,6,24,Tâm lí học đại cương,0,5,1
274,6,25,Cơ sở văn hóa Việt Nam,0,5,1
275,6,26,Xã hội học,0,5,1
276,6,27,Tiếng Việt thực hành,0,5,1
277,6,28,Âm nhạc - Nhạc lý và Guitar căn bản,0,5,1
278,6,29,Hội họa,0,5,1
279,6,30,Những môn chính học kỳ 6,1,6,0
280,6,31,Lập trình phân tán với công nghệ .NET,0,6,1
281,6,32,Lập trình phân tán với công nghệ Java,0,6,1
282,6,33,Lập trình mạng với Qt Framework,0,6,1
283,6,34,Khai thác dữ liệu và ứng dụng,0,6,2
284,6,35,Kỹ thuật điện tử ,0,6,2
285,6,36,Lập trình phân tích dữ liệu 1,0,6,2
286,6,37,Những môn chính học kỳ 7,1,7,0
287,6,38,Lập trình WWW (.NET),0,7,1
288,6,39,Lập trình WWW (Java),0,7,1
289,6,40,Lập trình IoTs,0,7,1
290,6,41,Phát triển ứng dụng Web với Qt Engine,0,7,1
291,6,42,Những môn chính học kỳ 8,1,8,0
292,6,43,Lập trình phân tích dữ liệu 2 ,0,8,1
293,6,44,Automat & ngôn ngữ hình thức ,0,8,1
294,6,45,Lập trình thiết bị di động nâng cao ,0,8,1
295,6,46,Kiến trúc hướng dịch vụ và Điện toán đám mây  ,0,8,2
296,6,47,Nhập môn dữ liệu lớn ,0,8,2
297,6,48,Quản lý dự án CNTT,0,8,2
298,6,49,Tiếp thị điện tử ,0,8,2
299,6,50,Những môn chính học kỳ 9,1,9,0
300,7,1,Những môn chính học kỳ 1,1,1,0
301,7,2,Những môn chính học kỳ 2,1,1,0
302,7,3,Logic học,0,2,1
303,7,4,Phương pháp tính,0,2,1
304,7,5,Vật lý đại cương,1,2,1
305,7,6,Toán ứng dụng,0,2,1
306,7,7,Hàm phức và phép biến đổi Laplace,0,2,1
307,7,8,Những môn chính học kỳ 3,1,3,0
308,7,9,Kỹ năng xây dựng kế hoạch ,0,3,1
309,7,10,Quản trị học,1,3,1
310,7,11,Quản trị doanh nghiệp,0,3,1
311,7,12,Kế toán cơ bản,0,3,1
312,7,13,Môi trường và con người ,0,3,1
313,7,14,Giao tiếp kinh doanh,0,3,1
314,7,15,Kỹ năng sử dụng bàn phím và thiết bị văn phòng,0,3,1
315,7,16,Những môn chính học kỳ 4,1,4,0
316,7,17,Hệ quản trị cơ sở dữ liệu,1,4,1
317,7,18,Tương tác người máy,0,4,1
318,7,19,Thương mại điện tử,0,4,1
319,7,20,Lập trình hướng sự kiện với công nghệ .NET,0,4,2
320,7,21,Lập trình hướng sự kiện với công nghệ Java,1,4,2
321,7,22,Lập trình GUI với Qt Framework,0,4,2
322,7,23,Những môn chính học kỳ 5,1,5,0
323,7,24,Tâm lí học đại cương,0,5,1
324,7,25,Cơ sở văn hóa Việt Nam,0,5,1
325,7,26,Xã hội học,0,5,1
326,7,27,Tiếng Việt thực hành,1,5,1
327,7,28,Âm nhạc - Nhạc lý và Guitar căn bản,0,5,1
328,7,29,Hội họa,0,5,1
329,7,30,Những môn chính học kỳ 6,1,6,0
330,7,31,Lập trình phân tán với công nghệ .NET,0,6,1
331,7,32,Lập trình phân tán với công nghệ Java,1,6,1
332,7,33,Lập trình mạng với Qt Framework,0,6,1
333,7,34,Khai thác dữ liệu và ứng dụng,0,6,2
334,7,35,Kỹ thuật điện tử ,0,6,2
335,7,36,Lập trình phân tích dữ liệu 1,1,6,2
336,7,37,Những môn chính học kỳ 7,1,7,0
337,7,38,Lập trình WWW (.NET),0,7,1
338,7,39,Lập trình WWW (Java),1,7,1
339,7,40,Lập trình IoTs,0,7,1
340,7,41,Phát triển ứng dụng Web với Qt Engine,0,7,1
341,7,42,Những môn chính học kỳ 8,1,8,0
342,7,43,Lập trình phân tích dữ liệu 2 ,1,8,1
343,7,44,Automat & ngôn ngữ hình thức ,0,8,1
344,7,45,Lập trình thiết bị di động nâng cao ,0,8,1
345,7,46,Kiến trúc hướng dịch vụ và Điện toán đám mây  ,0,8,2
346,7,47,Nhập môn dữ liệu lớn ,0,8,2
347,7,48,Quản lý dự án CNTT,0,8,2
348,7,49,Tiếp thị điện tử ,0,8,2
349,7,50,Những môn chính học kỳ 9,1,9,0
350,8,1,Những môn chính học kỳ 1,1,1,0
351,8,2,Những môn chính học kỳ 2,1,1,0
352,8,3,Logic học,1,2,1
353,8,4,Phương pháp tính,0,2,1
354,8,5,Vật lý đại cương,0,2,1
355,8,6,Toán ứng dụng,0,2,1
356,8,7,Hàm phức và phép biến đổi Laplace,0,2,1
357,8,8,Những môn chính học kỳ 3,1,3,0
358,8,9,Kỹ năng xây dựng kế hoạch ,0,3,1
359,8,10,Quản trị học,0,3,1
360,8,11,Quản trị doanh nghiệp,0,3,1
361,8,12,Kế toán cơ bản,0,3,1
362,8,13,Môi trường và con người ,0,3,1
363,8,14,Giao tiếp kinh doanh,0,3,1
364,8,15,Kỹ năng sử dụng bàn phím và thiết bị văn phòng,1,3,1
365,8,16,Những môn chính học kỳ 4,1,4,0
366,8,17,Hệ quản trị cơ sở dữ liệu,1,4,1
367,8,18,Tương tác người máy,0,4,1
368,8,19,Thương mại điện tử,0,4,1
369,8,20,Lập trình hướng sự kiện với công nghệ .NET,0,4,2
370,8,21,Lập trình hướng sự kiện với công nghệ Java,1,4,2
371,8,22,Lập trình GUI với Qt Framework,0,4,2
372,8,23,Những môn chính học kỳ 5,1,5,0
373,8,24,Tâm lí học đại cương,0,5,1
374,8,25,Cơ sở văn hóa Việt Nam,0,5,1
375,8,26,Xã hội học,0,5,1
376,8,27,Tiếng Việt thực hành,1,5,1
377,8,28,Âm nhạc - Nhạc lý và Guitar căn bản,0,5,1
378,8,29,Hội họa,0,5,1
379,8,30,Những môn chính học kỳ 6,1,6,0
380,8,31,Lập trình phân tán với công nghệ .NET,0,6,1
381,8,32,Lập trình phân tán với công nghệ Java,1,6,1
382,8,33,Lập trình mạng với Qt Framework,0,6,1
383,8,34,Khai thác dữ liệu và ứng dụng,0,6,2
384,8,35,Kỹ thuật điện tử ,0,6,2
385,8,36,Lập trình phân tích dữ liệu 1,1,6,2
386,8,37,Những môn chính học kỳ 7,1,7,0
387,8,38,Lập trình WWW (.NET),0,7,1
388,8,39,Lập trình WWW (Java),1,7,1
389,8,40,Lập trình IoTs,0,7,1
390,8,41,Phát triển ứng dụng Web với Qt Engine,0,7,1
391,8,42,Những môn chính học kỳ 8,1,8,0
392,8,43,Lập trình phân tích dữ liệu 2 ,0,8,1
393,8,44,Automat & ngôn ngữ hình thức ,0,8,1
394,8,45,Lập trình thiết bị di động nâng cao ,0,8,1
395,8,46,Kiến trúc hướng dịch vụ và Điện toán đám mây  ,0,8,2
396,8,47,Nhập môn dữ liệu lớn ,0,8,2
397,8,48,Quản lý dự án CNTT,1,8,2
398,8,49,Tiếp thị điện tử ,0,8,2
399,8,50,Những môn chính học kỳ 9,1,9,0
400,9,1,Những môn chính học kỳ 1,1,1,0
401,9,2,Những môn chính học kỳ 2,1,1,0
402,9,3,Logic học,0,2,1
403,9,4,Phương pháp tính,1,2,1
404,9,5,Vật lý đại cương,0,2,1
405,9,6,Toán ứng dụng,0,2,1
406,9,7,Hàm phức và phép biến đổi Laplace,0,2,1
407,9,8,Những môn chính học kỳ 3,1,3,0
408,9,9,Kỹ năng xây dựng kế hoạch ,1,3,1
409,9,10,Quản trị học,0,3,1
410,9,11,Quản trị doanh nghiệp,0,3,1
411,9,12,Kế toán cơ bản,0,3,1
412,9,13,Môi trường và con người ,0,3,1
413,9,14,Giao tiếp kinh doanh,0,3,1
414,9,15,Kỹ năng sử dụng bàn phím và thiết bị văn phòng,0,3,1
415,9,16,Những môn chính học kỳ 4,1,4,0
416,9,17,Hệ quản trị cơ sở dữ liệu,0,4,1
417,9,18,Tương tác người máy,1,4,1
418,9,19,Thương mại điện tử,0,4,1
419,9,20,Lập trình hướng sự kiện với công nghệ .NET,0,4,2
420,9,21,Lập trình hướng sự kiện với công nghệ Java,1,4,2
421,9,22,Lập trình GUI với Qt Framework,0,4,2
422,9,23,Những môn chính học kỳ 5,1,5,0
423,9,24,Tâm lí học đại cương,1,5,1
424,9,25,Cơ sở văn hóa Việt Nam,0,5,1
425,9,26,Xã hội học,0,5,1
426,9,27,Tiếng Việt thực hành,0,5,1
427,9,28,Âm nhạc - Nhạc lý và Guitar căn bản,0,5,1
428,9,29,Hội họa,0,5,1
429,9,30,Những môn chính học kỳ 6,1,6,0
430,9,31,Lập trình phân tán với công nghệ .NET,0,6,1
431,9,32,Lập trình phân tán với công nghệ Java,1,6,1
432,9,33,Lập trình mạng với Qt Framework,0,6,1
433,9,34,Khai thác dữ liệu và ứng dụng,0,6,2
434,9,35,Kỹ thuật điện tử ,0,6,2
435,9,36,Lập trình phân tích dữ liệu 1,1,6,2
436,9,37,Những môn chính học kỳ 7,1,7,0
437,9,38,Lập trình WWW (.NET),0,7,1
438,9,39,Lập trình WWW (Java),1,7,1
439,9,40,Lập trình IoTs,0,7,1
440,9,41,Phát triển ứng dụng Web với Qt Engine,0,7,1
441,9,42,Những môn chính học kỳ 8,1,8,0
442,9,43,Lập trình phân tích dữ liệu 2 ,0,8,1
443,9,44,Automat & ngôn ngữ hình thức ,0,8,1
444,9,45,Lập trình thiết bị di động nâng cao ,0,8,1
445,9,46,Kiến trúc hướng dịch vụ và Điện toán đám mây  ,0,8,2
446,9,47,Nhập môn dữ liệu lớn ,0,8,2
447,9,48,Quản lý dự án CNTT,1,8,2
448,9,49,Tiếp thị điện tử ,0,8,2
449,9,50,Những môn chính học kỳ 9,1,9,0
450,10,1,Những môn chính học kỳ 1,1,1,0
451,10,2,Những môn chính học kỳ 2,1,1,0
452,10,3,Logic học,0,2,1
453,10,4,Phương pháp tính,0,2,1
454,10,5,Vật lý đại cương,1,2,1
455,10,6,Toán ứng dụng,0,2,1
456,10,7,Hàm phức và phép biến đổi Laplace,0,2,1
457,10,8,Những môn chính học kỳ 3,1,3,0
458,10,9,Kỹ năng xây dựng kế hoạch ,0,3,1
459,10,10,Quản trị học,0,3,1
460,10,11,Quản trị doanh nghiệp,0,3,1
461,10,12,Kế toán cơ bản,0,3,1
462,10,13,Môi trường và con người ,1,3,1
463,10,14,Giao tiếp kinh doanh,0,3,1
464,10,15,Kỹ năng sử dụng bàn phím và thiết bị văn phòng,0,3,1
465,10,16,Những môn chính học kỳ 4,1,4,0
466,10,17,Hệ quản trị cơ sở dữ liệu,1,4,1
467,10,18,Tương tác người máy,0,4,1
468,10,19,Thương mại điện tử,0,4,1
469,10,20,Lập trình hướng sự kiện với công nghệ .NET,0,4,2
470,10,21,Lập trình hướng sự kiện với công nghệ Java,1,4,2
471,10,22,Lập trình GUI với Qt Framework,0,4,2
472,10,23,Những môn chính học kỳ 5,1,5,0
473,10,24,Tâm lí học đại cương,0,5,1
474,10,25,Cơ sở văn hóa Việt Nam,0,5,1
475,10,26,Xã hội học,0,5,1
476,10,27,Tiếng Việt thực hành,1,5,1
477,10,28,Âm nhạc - Nhạc lý và Guitar căn bản,0,5,1
478,10,29,Hội họa,0,5,1
479,10,30,Những môn chính học kỳ 6,1,6,0
480,10,31,Lập trình phân tán với công nghệ .NET,0,6,1
481,10,32,Lập trình phân tán với công nghệ Java,1,6,1
482,10,33,Lập trình mạng với Qt Framework,0,6,1
483,10,34,Khai thác dữ liệu và ứng dụng,0,6,2
484,10,35,Kỹ thuật điện tử ,0,6,2
485,10,36,Lập trình phân tích dữ liệu 1,1,6,2
486,10,37,Những môn chính học kỳ 7,1,7,0
487,10,38,Lập trình WWW (.NET),0,7,1
488,10,39,Lập trình WWW (Java),1,7,1
489,10,40,Lập trình IoTs,0,7,1
490,10,41,Phát triển ứng dụng Web với Qt Engine,0,7,1
491,10,42,Những môn chính học kỳ 8,1,8,0
492,10,43,Lập trình phân tích dữ liệu 2 ,0,8,1
493,10,44,Automat & ngôn ngữ hình thức ,0,8,1
494,10,45,Lập trình thiết bị di động nâng cao ,1,8,1
495,10,46,Kiến trúc hướng dịch vụ và Điện toán đám mây  ,0,8,2
496,10,47,Nhập môn dữ liệu lớn ,0,8,2
497,10,48,Quản lý dự án CNTT,0,8,2
498,10,49,Tiếp thị điện tử ,0,8,2
499,10,50,Những môn chính học kỳ 9,1,9,0
500,11,1,Những môn chính học kỳ 1,1,1,0
501,11,2,Những môn chính học kỳ 2,1,1,0
502,11,3,Logic học,1,2,1
503,11,4,Phương pháp tính,0,2,1
504,11,5,Vật lý đại cương,0,2,1
505,11,6,Toán ứng dụng,0,2,1
506,11,7,Hàm phức và phép biến đổi Laplace,0,2,1
507,11,8,Những môn chính học kỳ 3,1,3,0
508,11,9,Kỹ năng xây dựng kế hoạch ,0,3,1
509,11,10,Quản trị học,0,3,1
510,11,11,Quản trị doanh nghiệp,0,3,1
511,11,12,Kế toán cơ bản,0,3,1
512,11,13,Môi trường và con người ,0,3,1
513,11,14,Giao tiếp kinh doanh,0,3,1
514,11,15,Kỹ năng sử dụng bàn phím và thiết bị văn phòng,0,3,1
